년(Annual),구분,LEVEL1,값,증감,증감율,구성비,누계,누계구성비
2017,저상대수,대구,473,473,473,0,0,0
2017,저상대수,인천,374,374,374,0,0,0
2017,저상대수,광주,200,200,200,0,0,0
2017,저상대수,대전,245,245,245,0,0,0
2017,저상대수,울산,93,93,93,0,0,0
2017,저상대수,세종,45,45,45,0,0,0
2017,저상대수,경기,1344,1344,1344,0,0,0
2017,저상대수,강원,189,189,189,0,0,0
2017,저상대수,충북,119,119,119,0,0,0
2017,저상대수,충남,57,57,57,0,0,0
2017,저상대수,전북,171,171,171,0,0,0
2017,저상대수,전남,80,80,80,0,0,0
2017,저상대수,경북,149,149,149,0,0,0
2017,저상대수,경남,334,334,334,0,0,0
2017,저상대수,제주,68,68,68,0,0,0
2017,도입률,계,22.4,22.4,22.4,0,0,0
2017,도입률,서울,43.6,43.6,43.6,0,0,0
2017,도입률,부산,21,21,21,0,0,0
2017,도입률,대구,31.1,31.1,31.1,0,0,0
2017,도입률,인천,16.1,16.1,16.1,0,0,0
2017,도입률,광주,19.2,19.2,19.2,0,0,0
2017,도입률,대전,24.1,24.1,24.1,0,0,0
2017,도입률,울산,12.6,12.6,12.6,0,0,0
2017,도입률,세종,24.5,24.5,24.5,0,0,0
2017,도입률,경기,13.3,13.3,13.3,0,0,0
2017,도입률,강원,28.7,28.7,28.7,0,0,0
2017,도입률,충북,22.2,22.2,22.2,0,0,0
2017,도입률,충남,7.2,7.2,7.2,0,0,0
2017,도입률,전북,17.5,17.5,17.5,0,0,0
2017,도입률,전남,10.9,10.9,10.9,0,0,0
2017,도입률,경북,10.3,10.3,10.3,0,0,0
2017,도입률,경남,20.3,20.3,20.3,0,0,0
2017,도입률,제주,17.4,17.4,17.4,0,0,0
2018,시내대수,계,34287,34287,34287,0,0,0
2018,시내대수,서울,7405,7405,7405,0,0,0
2018,시내대수,부산,2517,2517,2517,0,0,0
2018,시내대수,대구,1521,1521,1521,0,0,0
2018,시내대수,인천,2341,2341,2341,0,0,0
2018,시내대수,광주,1041,1041,1041,0,0,0
2018,시내대수,대전,1016,1016,1016,0,0,0
2018,시내대수,울산,830,830,830,0,0,0
2018,시내대수,세종,235,235,235,0,0,0
2018,시내대수,경기,10548,10548,10548,0,0,0
2018,시내대수,강원,554,554,554,0,0,0
2018,시내대수,충북,586,586,586,0,0,0
2018,시내대수,충남,874,874,874,0,0,0
2018,시내대수,전북,827,827,827,0,0,0
2018,시내대수,전남,722,722,722,0,0,0
2018,시내대수,경북,1177,1177,1177,0,0,0
2018,시내대수,경남,1704,1704,1704,0,0,0
2018,시내대수,제주,389,389,389,0,0,0
2018,저상대수,계,8016,8016,8016,0,0,0
2018,저상대수,서울,3332,3332,3332,0,0,0
2018,저상대수,부산,560,560,560,0,0,0
2018,저상대수,대구,526,526,526,0,0,0
2018,저상대수,인천,400,400,400,0,0,0
2018,저상대수,광주,213,213,213,0,0,0
2018,저상대수,대전,279,279,279,0,0,0
2018,저상대수,울산,96,96,96,0,0,0
2018,저상대수,세종,54,54,54,0,0,0
2018,저상대수,경기,1343,1343,1343,0,0,0
2018,저상대수,강원,193,193,193,0,0,0
2018,저상대수,충북,122,122,122,0,0,0
2018,저상대수,충남,61,61,61,0,0,0
2018,저상대수,전북,182,182,182,0,0,0
2018,저상대수,전남,85,85,85,0,0,0
2018,저상대수,경북,164,164,164,0,0,0
2018,저상대수,경남,318,318,318,0,0,0
2018,저상대수,제주,88,88,88,0,0,0
2018,도입률,계,23.4,23.4,23.4,0,0,0
2018,도입률,서울,45,45,45,0,0,0
2018,도입률,부산,22.2,22.2,22.2,0,0,0
2018,도입률,대구,34.6,34.6,34.6,0,0,0
2018,도입률,인천,17.1,17.1,17.1,0,0,0
2018,도입률,광주,20.5,20.5,20.5,0,0,0
2018,도입률,대전,27.5,27.5,27.5,0,0,0
2018,도입률,울산,11.6,11.6,11.6,0,0,0
2018,도입률,세종,23,23,23,0,0,0
2018,도입률,경기,12.7,12.7,12.7,0,0,0
2018,도입률,강원,34.8,34.8,34.8,0,0,0
2018,도입률,충북,20.8,20.8,20.8,0,0,0
2018,도입률,충남,7,7,7,0,0,0
2018,도입률,전북,22,22,22,0,0,0
2018,도입률,전남,11.8,11.8,11.8,0,0,0
2018,도입률,경북,13.9,13.9,13.9,0,0,0
2018,도입률,경남,18.7,18.7,18.7,0,0,0
2018,도입률,제주,22.6,22.6,22.6,0,0,0
2019,시내대수,계,34086,34086,34086,0,0,0
2019,시내대수,서울,7316,7316,7316,0,0,0
2019,시내대수,부산,2489,2489,2489,0,0,0
2019,시내대수,대구,1599,1599,1599,0,0,0
2019,시내대수,인천,2331,2331,2331,0,0,0
2019,시내대수,광주,1032,1032,1032,0,0,0
2019,시내대수,대전,1005,1005,1005,0,0,0
2019,시내대수,울산,827,827,827,0,0,0
2019,시내대수,세종,281,281,281,0,0,0
2019,시내대수,경기,10460,10460,10460,0,0,0
2019,시내대수,강원,539,539,539,0,0,0
2019,시내대수,충북,628,628,628,0,0,0
2019,시내대수,충남,795,795,795,0,0,0
2019,시내대수,전북,820,820,820,0,0,0
2019,시내대수,전남,715,715,715,0,0,0
2019,시내대수,경북,1167,1167,1167,0,0,0
2019,시내대수,경남,1697,1697,1697,0,0,0
2019,시내대수,제주,385,385,385,0,0,0
2019,저상대수,계,9016,9016,9016,0,0,0
2019,저상대수,서울,3945,3945,3945,0,0,0
2019,저상대수,부산,638,638,638,0,0,0
2019,저상대수,대구,546,546,546,0,0,0
2019,저상대수,인천,469,469,469,0,0,0
2019,저상대수,광주,215,215,215,0,0,0
2019,저상대수,대전,289,289,289,0,0,0
2019,저상대수,울산,101,101,101,0,0,0
2019,저상대수,세종,66,66,66,0,0,0
2019,저상대수,경기,1422,1422,1422,0,0,0
2019,저상대수,강원,187,187,187,0,0,0
2019,저상대수,충북,131,131,131,0,0,0
2019,저상대수,충남,74,74,74,0,0,0
2019,저상대수,전북,186,186,186,0,0,0
2019,저상대수,전남,97,97,97,0,0,0
2019,저상대수,경북,177,177,177,0,0,0
2019,저상대수,경남,370,370,370,0,0,0
2019,저상대수,제주,103,103,103,0,0,0
2019,도입률,계,26.5,26.5,26.5,0,0,0
2019,도입률,서울,53.9,53.9,53.9,0,0,0
2019,도입률,부산,25.6,25.6,25.6,0,0,0
